برلين ترفض حصول شركة اميركية على رخصة تصنيع دبابة " ليوبارد " الالمانية	X VERB NOUN NOUN ADJ ADP NOUN NOUN NOUN PUNCT X PUNCT ADJ
برلين 15 - 7 ( اف ب ) - افادت صحيفة الاحد الالمانية " ويلت ام سونتاغ " في عددها عدد ها الصادر غدا ، ان المستشار غيرهارد شرودر يرفض حصول المجموعة الاميركية " جنرال ديناميكس " على رخصة لتصنيع ل تصنيع الدبابة الالمانية " ليوبارد 2 " عبر شراء المجموعة الحكومية الاسبانية للاسلحة ل الأسلحة " سانتا بربارة " .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN NOUN ADJ PUNCT X X X PUNCT ADP _ NOUN PRON ADJ NOUN PUNCT SCONJ NOUN X X VERB NOUN NOUN ADJ PUNCT X X PUNCT ADP NOUN _ ADP NOUN NOUN ADJ PUNCT X NUM PUNCT ADP NOUN NOUN ADJ ADJ _ ADP NOUN PUNCT X X PUNCT PUNCT
وفي و في نيسان / ابريل الماضي ، تخلت الدولة الاسبانية عن مجموعة " سانتا بربارة " التي تصنع دبابات ليوبارد الالمانية ، الى " جنرال ديناميكس " التي تنتج الدبابة الاميركية " ام 1 ابرامس " المعتبرة المنافسة الرئيسية لدبابة ل دبابة ليوبارد في الاسواق .	_ CCONJ ADP NOUN PUNCT NOUN ADJ PUNCT VERB NOUN ADJ ADP NOUN PUNCT X X PUNCT DET VERB NOUN X ADJ PUNCT ADP PUNCT X X PUNCT X VERB NOUN ADJ PUNCT X NUM X PUNCT ADJ NOUN ADJ _ ADP NOUN X ADP NOUN PUNCT
وكانت و كانت خسائر المجموعة الاسبانية الرسمية تراكمت في السنوات العشر الاخيرة لتبلغ ل تبلغ 920 مليون يورو .	_ CCONJ VERB NOUN NOUN ADJ ADJ VERB ADP NOUN NUM ADJ _ CCONJ VERB NUM NUM NOUN PUNCT
واشارت و أشارت صحيفة الاحد الى ان المستشار شرودر يعتبر ان حصول المجموعة الاميركية على رخصة تصنيع ليوبارد 2 يعرض للخطر ل الخطر المصالح التكنولوجية الاساسية لالمانيا ل ألمانيا وطلب و طلب من وزير الدفاع رودولف شاربينغ التوجه الى اسبانيا .	_ CCONJ VERB NOUN NOUN ADP SCONJ NOUN X VERB SCONJ NOUN NOUN ADJ ADP NOUN NOUN X NUM VERB _ ADP NOUN NOUN ADJ ADJ _ ADP X _ CCONJ VERB ADP NOUN NOUN X X NOUN ADP X PUNCT
وتعذر و تعذر لمتحدثة ل متحدثة باسم ب اسم وزارة الدفاع الالمانية ان تؤكد اليوم السبت هذه المعلومات .	_ CCONJ VERB _ ADP NOUN _ ADP NOUN NOUN NOUN ADJ SCONJ VERB NOUN NOUN DET NOUN PUNCT
وفي و في 21 حزيران / يونيو ، شدد وزير الدفاع الاسباني فيديريكو تريو على ان العقد الموقع في نهاية عام 1998 بين سانتا بربارة ومنتجي و منتجي الدبابة الالمانية ، كروس ك روس مافييه ورينمينتال لتصنيع ل تصنيع الدبابة في اسبانيا وانتاج و إنتاج 235 دبابة ليوبارد 2 خلال عشر سنوات ، يتضمن بندا لحماية ل حماية التكنولوجيا الالمانية ويجب و يجب في " جميع الاحوال " ان تحترمه تحترم ه شركة " جنرال ديناميكس " الاميركية .	_ CCONJ ADP NUM NOUN PUNCT NOUN PUNCT VERB NOUN NOUN ADJ X X ADP SCONJ NOUN ADJ ADP NOUN NOUN NUM ADP X X _ CCONJ NOUN NOUN ADJ PUNCT _ ADP X X X _ ADP NOUN NOUN ADP X _ CCONJ NOUN NUM NOUN X NUM ADP NUM NOUN PUNCT VERB NOUN _ ADP NOUN NOUN ADJ _ CCONJ VERB ADP PUNCT NOUN NOUN PUNCT SCONJ _ VERB PRON NOUN PUNCT X X PUNCT ADJ PUNCT
مقتل ما لا يقل عن 12 شخصا في مواجهات في احدى اسواق لاغوس	NOUN DET PART VERB ADP NUM NOUN ADP NOUN ADP NOUN NOUN X
لاغوس 15 - 7 ( اف ب ) - ذكرت الشرطة النيجيرية اليوم السبت ان ما لا يقل عن 12 شخصا قتلوا في مواجهات استمرت يومين في سوق في لاغوس بين تجار وزقاقيين و زقاقيين .	X NUM PUNCT NUM PUNCT X X PUNCT PUNCT VERB NOUN ADJ NOUN NOUN SCONJ DET PART VERB ADP NUM NOUN VERB ADP NOUN VERB NOUN ADP NOUN ADP X ADP NOUN _ CCONJ ADJ PUNCT
واعلن و أعلن متحدث باسم ب اسم الشرطة لوكالة ل وكالة فرانس برس ان المواجهات التي بدأت الخميس بين التجار في سوق الابا في لاغوس ، وعدد و عدد من الزقاقيين ، اسفرت ايضا عن اصابة عدد من الاشخاص بجروح ب جروح .	_ CCONJ VERB NOUN _ ADP NOUN NOUN _ ADP NOUN X X SCONJ NOUN DET VERB NOUN ADP NOUN ADP NOUN X ADP X PUNCT _ CCONJ NOUN ADP ADJ PUNCT VERB ADV ADP NOUN NOUN ADP NOUN _ ADP NOUN PUNCT
وبدأت و بدأت اعمال العنف فيما كان الزقاقيون يحاولون نهب المحلات التجارية بحجة ب حجة انهم أن هم يبحثون عن سارق .	_ CCONJ VERB NOUN NOUN CCONJ VERB ADJ VERB NOUN NOUN ADJ _ ADP NOUN _ SCONJ PRON VERB ADP NOUN PUNCT
